case number,case detail,time of fir,no of suspects,progress,police station numbers
8ZOlh,Car theft,2022-06-30 12:54:49,4,closed,82274353
cMUnp,Robbery at a convenience store,2019-09-14 20:34:37,10,pending,58536581
8OE79,Assault in a public place,2022-04-30 15:29:17,5,closed,45915307
a1oHH,Assault on an officer,2021-06-02 02:00:36,1,closed,81606915
wY373,Burglary in a residential area,2022-04-19 12:23:29,10,closed,17228327
PrLh7,Identity theft,2020-11-13 10:09:29,5,closed,02755196
rY8iE,Identity theft,2021-05-31 09:20:08,4,closed,18188355
dc4JM,Domestic violence,2021-03-22 12:55:00,10,pending,14928016
DeXG2,Environmental crime,2022-05-04 04:02:56,10,closed,09527368
naZgM,Homicide,2022-09-02 02:44:31,5,closed,58527412
1egpq,Trespassing,2019-01-08 20:29:38,7,closed,57506274
X8AmF,Public disturbance,2021-01-03 00:15:15,7,closed,01744400
C9cBr,Arson,2021-10-20 19:35:53,2,closed,93293896
daAGR,Identity theft,2020-04-27 08:10:31,1,closed,77802802
Zj67G,Environmental crime,2021-02-08 19:11:21,7,pending,34981265
xdwZY,Forgery and fraud,2019-12-12 09:54:23,2,closed,62184426
f0Mwy,Public disturbance,2020-06-04 09:15:39,1,closed,88543226
xSMFu,Forgery and fraud,2021-08-13 18:18:44,4,closed,83783567
Tn1ew,Assault on an officer,2022-11-05 03:44:26,2,pending,48355219
tprL7,Kidnapping,2020-04-05 01:24:39,1,closed,81852394
i5MXA,Assault in a public place,2019-12-13 23:23:59,5,pending,16670790
AW7eg,Public disturbance,2019-07-29 17:29:03,3,closed,67588265
uck09,Assault on an officer,2021-08-28 22:40:16,7,closed,70489086
9Zpcv,Homicide,2020-07-28 02:55:26,3,pending,97106059
cQFuE,Homicide,2020-01-04 20:04:05,4,pending,26716570
7AIOq,Forgery and fraud,2019-09-17 20:23:17,4,closed,47175793
RcGzE,Shoplifting at a mall,2021-03-22 12:50:35,5,pending,16320612
I4JcO,Identity theft,2021-07-15 18:52:10,5,closed,88174055
bnndS,Homicide,2019-03-17 21:28:46,7,closed,21096699
5FGLS,Assault in a public place,2021-01-02 12:26:13,10,pending,16528681
e9Ibp,Burglary in a residential area,2021-09-26 07:34:50,8,closed,98467650
EAwny,Kidnapping,2022-10-13 15:49:06,1,closed,58015353
xYUX2,Stalking,2021-03-11 00:47:58,10,pending,49448570
dTutI,Shoplifting at a mall,2020-03-13 19:37:30,4,closed,31674530
UlenE,Forgery and fraud,2019-11-26 14:51:40,2,pending,88599213
CSacF,Arson,2021-11-28 07:19:11,3,closed,10677598
ojJpN,Child abuse,2021-12-04 21:33:50,4,closed,67002652
6VCF6,Car theft,2020-12-26 01:55:45,7,closed,08526909
77vPh,Vandalism in a park,2021-05-11 16:16:48,4,closed,78237111
yIV0D,Human trafficking,2021-10-13 04:26:40,8,closed,58299178
njRAi,Kidnapping,2019-10-10 14:01:27,10,closed,81784218
w8Qci,Burglary in a residential area,2022-05-15 01:03:56,2,pending,25934781
4yUf5,Drug trafficking,2019-12-16 02:22:43,9,closed,58085981
Bkbrh,Human trafficking,2021-11-25 23:19:12,8,closed,74992290
rgxMt,Arson,2020-04-29 04:23:12,8,closed,43397096
23QhL,Public disturbance,2020-06-07 04:16:56,3,pending,59616566
3ps6y,Forgery and fraud,2019-09-23 13:02:02,6,pending,52303265
dZRhM,Stalking,2020-04-14 09:22:37,10,closed,76544023
NpIbW,Environmental crime,2020-02-03 20:00:31,2,pending,94707426
icmo4,Car theft,2020-11-24 01:25:06,3,pending,55076480
WDBBe,Drug trafficking,2020-04-21 05:33:18,10,pending,39668858
S3KVZ,Public disturbance,2022-04-04 19:14:09,10,closed,83925257
L1uYK,Arson,2021-07-31 09:13:08,3,pending,51691722
pmG7w,Environmental crime,2019-01-26 06:57:02,2,pending,56370636
beCgx,Arson,2022-10-19 20:56:14,9,closed,26696571
lbZTW,Kidnapping,2019-01-13 09:13:42,2,closed,06579889
Ql1o5,Drug trafficking,2020-10-24 03:08:09,6,closed,79317578
tQ6Q8,Drug trafficking,2020-09-14 23:20:13,6,pending,97341618
9Cdm6,Vandalism in a park,2021-12-27 13:59:40,9,pending,37764546
XHwe2,Kidnapping,2019-04-13 06:24:09,1,closed,19047637
DB6DW,Human trafficking,2021-03-18 13:43:23,8,pending,32475830
ZMVy5,Burglary in a residential area,2020-07-07 01:17:11,6,closed,75390509
BQMAH,Identity theft,2019-01-14 10:27:34,10,pending,32294428
cgFac,Burglary in a residential area,2021-09-02 08:34:59,8,pending,58033433
nLkxg,Homicide,2020-09-20 15:29:09,1,pending,24699126
Sr7GW,Cybercrime,2019-01-07 15:36:55,1,pending,74584879
rIatk,Environmental crime,2020-10-03 05:09:36,7,closed,58821450
jaQ6v,Vandalism in a park,2019-08-12 15:47:33,3,closed,50235605
2AJ0C,Drug trafficking,2021-10-16 21:58:49,5,closed,15323878
hhUtA,Stalking,2019-05-01 02:31:15,3,pending,83151694
mF2fQ,Public disturbance,2021-11-05 03:51:16,10,closed,01169373
7YswF,Stalking,2021-04-06 20:31:46,5,pending,97014644
GakOl,Kidnapping,2022-12-08 02:54:43,10,closed,77408794
zjR10,Drug trafficking,2020-04-15 17:40:27,5,pending,21522432
J9f5T,Environmental crime,2020-11-27 21:39:28,3,pending,04934145
U66H1,Human trafficking,2019-04-17 22:05:39,9,pending,14989527
zO3jm,Burglary in a residential area,2019-10-08 22:24:45,2,closed,59333092
uXOGu,Public disturbance,2021-11-18 23:12:14,9,closed,85357703
RwVf2,Identity theft,2021-03-10 04:44:13,7,pending,46366328
nzVqf,Trespassing,2019-06-28 15:58:02,6,closed,99579863
v5tbx,Drug trafficking,2020-11-28 13:35:45,6,pending,24071467
yt697,Robbery at a convenience store,2022-12-16 23:45:37,7,pending,61172016
QzfWC,Environmental crime,2019-12-30 05:54:21,1,pending,00628095
6El7o,Shoplifting at a mall,2019-06-11 08:38:54,6,pending,91161849
skfV6,Trespassing,2022-07-31 12:53:53,8,pending,47734683
inZgw,Identity theft,2021-04-24 19:18:31,3,pending,83523582
mB7zD,Assault in a public place,2021-07-22 07:36:37,6,closed,34611136
XTFrG,Car theft,2022-10-01 22:56:58,9,closed,63595940
ihqpt,Stalking,2020-08-08 15:25:39,10,closed,66017875
fJh2i,Arson,2020-09-08 01:29:49,2,pending,89435196
qhNoZ,Trespassing,2020-12-14 03:26:52,4,closed,19221253
B93dV,Public disturbance,2022-03-01 08:09:58,10,closed,04260091
rFo0y,Stalking,2021-10-31 18:27:08,8,closed,43437279
8Ohir,Public disturbance,2021-08-07 06:21:11,9,closed,05477672
jHICr,Arson,2020-01-15 06:46:41,8,closed,11540894
zO10r,Stalking,2021-02-26 11:46:08,10,pending,93601092
UuwvD,Forgery and fraud,2021-09-05 04:43:09,2,pending,60692941
BWI1t,Arson,2022-06-13 16:47:27,10,closed,60850684
oiQA7,Shoplifting at a mall,2022-07-31 18:44:04,4,pending,79518295
EcSYW,Environmental crime,2022-05-01 20:09:35,8,pending,14374350
usc7A,Arson,2022-05-15 14:05:48,5,pending,40217226
Bn1KO,Shoplifting at a mall,2022-07-23 16:15:14,8,closed,13179658
wlxSA,Assault on an officer,2020-06-17 18:02:23,7,closed,88320810
t15Z9,Trespassing,2022-05-12 00:18:29,2,closed,61907584
ksIyU,Vandalism in a park,2020-07-04 09:44:11,7,closed,35380409
bvtAO,Stalking,2019-08-29 12:07:04,5,closed,51004627
wTyeF,Car theft,2020-11-26 09:14:29,5,pending,63882499
4Vh3v,Environmental crime,2022-07-05 09:00:22,9,pending,76813503
oYrQ1,Homicide,2020-08-23 05:32:20,9,closed,47253536
YyvJy,Arson,2020-05-20 08:36:22,1,closed,64013038
8dzwq,Drug trafficking,2022-02-04 23:28:32,1,closed,75556204
2kVD7,Kidnapping,2019-12-29 04:22:41,7,pending,80014375
Imlc5,Trespassing,2021-02-04 22:30:29,9,pending,51340511
SD68V,Arson,2020-11-30 18:44:46,5,pending,29189342
MmDq5,Trespassing,2021-07-29 22:42:25,10,pending,52933426
bY8Fd,Stalking,2022-11-01 22:30:55,4,closed,46290109
ClBPt,Stalking,2019-10-20 10:26:28,2,closed,40881425
dgvfc,Forgery and fraud,2020-08-03 01:52:23,5,closed,78105671
3cq8F,Arson,2019-02-24 05:09:17,4,pending,21474050
xjm3j,Child abuse,2022-02-09 09:46:13,6,pending,34965015
tdRCt,Human trafficking,2021-11-01 17:14:24,1,closed,75596057
k7P28,Drug trafficking,2019-08-22 07:55:46,3,closed,17837082
7ALDr,Human trafficking,2020-03-12 16:44:06,5,closed,73177232
T0ikZ,Robbery at a convenience store,2019-01-27 00:40:59,1,pending,97261387
6YK3e,Forgery and fraud,2022-02-22 01:50:49,9,closed,59920327
FXVlx,Assault on an officer,2022-04-21 10:17:26,8,closed,80180407
YBYBf,Homicide,2022-12-15 07:15:20,9,closed,76901901
5UPun,Homicide,2021-03-22 16:34:56,4,pending,99849689
1M5AY,Drug trafficking,2020-01-21 21:01:37,8,closed,08581596
uyXLM,Forgery and fraud,2019-04-25 06:51:28,8,closed,80574346
WieS1,Vandalism in a park,2022-02-25 12:41:36,3,closed,75118821
gJLy9,Vandalism in a park,2020-08-04 04:26:28,5,closed,67635961
eUyo9,Robbery at a convenience store,2020-06-27 20:02:28,9,closed,98880298
XR9GX,Child abuse,2022-05-04 12:30:09,7,pending,24760033
vsAyg,Kidnapping,2022-07-04 06:04:30,4,pending,28681537
OssTY,Forgery and fraud,2020-03-12 19:00:49,4,pending,58690836
Y3cK6,Shoplifting at a mall,2020-08-22 07:34:07,3,closed,93833997
hdrWW,Human trafficking,2020-07-09 04:22:08,9,closed,91480091
2Ou85,Robbery at a convenience store,2020-03-17 14:35:28,10,closed,67104060
WVyuQ,Vandalism in a park,2019-02-17 00:43:21,10,closed,53752896
uZcru,Cybercrime,2020-04-01 11:36:16,10,pending,24105256
8Ftaz,Arson,2022-03-14 11:37:15,1,closed,69411042
mzJrT,Drug trafficking,2019-10-19 20:01:50,5,pending,03017369
57olx,Public disturbance,2022-07-05 23:33:58,10,pending,15095325
2C8yb,Car theft,2019-08-26 13:35:38,6,pending,94074785
hztik,Drug trafficking,2022-03-13 22:55:09,3,pending,51668428
4tO24,Identity theft,2019-03-18 07:55:57,8,pending,24058141
tNoZM,Domestic violence,2020-11-21 13:50:14,7,pending,04417924
vzN0M,Environmental crime,2021-03-14 04:57:49,9,pending,26582765
HzOJR,Car theft,2019-01-03 12:02:58,9,closed,66748295
k45E4,Burglary in a residential area,2022-02-20 20:51:52,10,pending,19637868
HBHrf,Shoplifting at a mall,2021-03-23 08:26:09,1,closed,81581964
57p6h,Arson,2020-06-06 16:22:42,10,pending,05586178
ng6aE,Identity theft,2019-01-14 22:59:22,6,pending,22390172
9745b,Vandalism in a park,2020-02-15 04:12:24,2,pending,84062976
xbhgy,Environmental crime,2022-11-13 16:55:05,3,pending,32630177
5NyYv,Shoplifting at a mall,2021-05-05 06:14:18,9,pending,05017744
HO7UZ,Environmental crime,2020-08-17 09:32:37,8,closed,46240723
pPyEO,Public disturbance,2020-01-10 22:22:14,6,pending,72751698
rAJne,Identity theft,2019-06-13 14:35:04,1,closed,98694931
DgcW3,Trespassing,2020-06-20 12:20:54,8,pending,97845829
QPSti,Assault in a public place,2022-11-07 08:34:58,9,closed,32632325
Sbmy9,Vandalism in a park,2022-09-25 05:40:21,6,pending,18888295
H6D6L,Trespassing,2020-05-10 17:26:44,3,closed,66051877
NeHIb,Arson,2021-09-03 01:21:35,2,closed,50400581
8NPie,Kidnapping,2019-03-05 06:24:23,10,pending,77184934
wObDV,Trespassing,2019-06-04 00:55:16,9,closed,85413631
NAcVj,Public disturbance,2022-05-19 05:14:50,8,closed,11987411
riQaV,Robbery at a convenience store,2022-02-27 19:05:27,7,closed,71177795
K5kBE,Public disturbance,2022-04-10 13:38:08,8,closed,27772784
BB4OO,Human trafficking,2021-09-17 15:42:48,5,pending,70668794
AosrB,Arson,2019-07-03 07:41:51,4,pending,28080556
OaKVD,Stalking,2022-05-02 07:13:36,6,closed,43387334
qdz7e,Trespassing,2019-04-02 11:57:48,10,closed,33443023
UHUTP,Human trafficking,2022-07-05 10:56:07,2,pending,60454911
3iukn,Robbery at a convenience store,2022-10-27 19:41:21,1,pending,18348547
wOhgD,Homicide,2021-02-20 07:41:57,1,closed,15746315
yyc7V,Human trafficking,2019-03-03 01:10:39,7,closed,78575040
BFHvn,Trespassing,2021-04-03 12:44:44,3,pending,38971586
c6ZqN,Shoplifting at a mall,2022-05-18 05:09:14,5,pending,94729311
UAEZs,Environmental crime,2021-12-23 00:39:29,10,closed,93641711
87Ifb,Vandalism in a park,2021-03-30 13:45:09,8,closed,39401559
eScrV,Vandalism in a park,2020-07-11 17:14:57,10,pending,33624884
wEklb,Forgery and fraud,2019-09-21 16:01:00,8,pending,64536334
CGwb1,Environmental crime,2021-03-04 19:18:17,3,closed,05741990
GYd3G,Assault in a public place,2021-09-11 17:52:26,9,pending,18300328
xHqNg,Child abuse,2022-03-12 01:36:32,1,pending,28919903
EDi4C,Homicide,2020-02-10 08:50:44,8,pending,97150299
rpZ97,Arson,2022-01-17 13:27:33,1,closed,79863816
FT0U8,Arson,2021-10-18 08:07:27,8,closed,30573341
4vkRh,Shoplifting at a mall,2022-02-03 17:10:22,2,pending,01829123
jpecu,Forgery and fraud,2019-01-16 14:21:57,4,pending,42776159
ljoT5,Domestic violence,2021-06-04 02:43:36,2,pending,83265521
Jy81V,Drug trafficking,2020-11-29 11:51:46,8,closed,65069269
XFUhn,Car theft,2021-10-13 16:10:14,9,pending,02960845
Q7jXT,Environmental crime,2022-08-17 12:50:36,10,closed,58631604
GAlYc,Car theft,2022-11-10 05:06:57,10,closed,65031326
WkFGp,Vandalism in a park,2019-05-31 07:23:04,9,closed,73879831
s3rd3,Environmental crime,2022-02-05 21:53:51,9,pending,29890098
In2hj,Identity theft,2021-08-17 19:13:37,6,closed,44509494
Vy2qP,Trespassing,2022-12-23 03:56:43,9,closed,12025926
WhG5q,Homicide,2020-01-04 09:39:02,4,pending,36739047
cGQrH,Robbery at a convenience store,2020-06-12 17:51:43,7,pending,76786375
dCnSx,Stalking,2022-11-09 08:39:59,8,pending,26658294
Empxt,Shoplifting at a mall,2020-06-10 15:41:49,2,pending,25752989
XufYu,Domestic violence,2022-11-16 03:17:32,3,pending,91619250
kT50K,Stalking,2021-12-26 11:09:18,5,closed,79328539
ftupH,Arson,2020-10-08 15:56:23,6,pending,52606100
AybOW,Forgery and fraud,2019-10-06 04:43:24,7,closed,40741080
R2lD1,Assault in a public place,2020-01-26 18:08:23,5,closed,33340677
2g1q0,Child abuse,2020-10-09 16:16:08,3,pending,14218248
iaT8L,Public disturbance,2021-06-15 19:53:42,8,closed,30858436
CX6Bk,Public disturbance,2021-06-27 18:05:13,2,closed,75618905
Zau1Z,Assault on an officer,2022-08-04 04:35:24,3,closed,22197994
BywO1,Environmental crime,2021-10-04 04:52:31,1,closed,22433382
6KqDc,Assault in a public place,2019-05-29 11:53:55,6,pending,58342623
yTrmx,Shoplifting at a mall,2019-06-19 17:18:36,5,closed,65072658
cxLrJ,Identity theft,2021-10-06 10:43:23,4,pending,96687623
Gmsdr,Homicide,2021-11-25 12:11:04,7,pending,91507447
Hf7k1,Human trafficking,2019-07-24 09:28:30,2,closed,62664196
FQoyi,Stalking,2020-12-30 10:29:05,2,pending,34577076
uaebD,Drug trafficking,2020-01-15 20:28:36,7,closed,85650875
7DJMs,Environmental crime,2021-03-14 02:38:24,5,closed,92891481
ZHBq7,Assault in a public place,2019-04-19 17:31:47,3,pending,64271098
rTdHC,Cybercrime,2021-11-29 08:34:09,8,pending,61045617
9hV1E,Child abuse,2022-06-26 02:57:38,1,closed,71977735
oSgHb,Assault on an officer,2020-07-22 06:52:17,9,closed,35035265
9u6qL,Domestic violence,2021-04-20 17:39:57,8,closed,48807132
9ku5u,Drug trafficking,2019-09-12 12:12:07,4,closed,87710666
boALc,Assault on an officer,2021-07-04 05:39:20,6,closed,98150417
2SJ0I,Shoplifting at a mall,2019-09-01 08:22:20,5,closed,61820681
iw4gX,Identity theft,2022-09-16 02:08:04,1,pending,52166636
kIt2p,Kidnapping,2022-03-29 04:48:47,8,closed,82716709
67O0u,Assault in a public place,2019-04-06 01:49:59,1,closed,61858157
RRWhl,Child abuse,2022-04-24 18:27:41,10,pending,18380327
8YTut,Child abuse,2022-06-18 19:41:18,4,closed,78040505
8iRvy,Stalking,2021-10-06 08:27:36,2,closed,92687359
hlrMd,Public disturbance,2021-09-25 09:18:30,5,pending,02590510
KMJ1z,Assault in a public place,2022-07-07 02:41:40,8,pending,44014492
W0lZO,Child abuse,2020-02-25 04:39:08,5,closed,80036593
b7fay,Robbery at a convenience store,2019-05-04 02:21:08,10,closed,66244603
EBK99,Forgery and fraud,2021-11-24 16:12:50,9,closed,36719624
3AGEI,Vandalism in a park,2021-09-07 03:03:30,1,pending,85171622
qljbS,Drug trafficking,2022-02-01 13:20:31,1,closed,75391942
309d1,Cybercrime,2022-11-15 12:02:49,8,pending,67000488
jQeGH,Forgery and fraud,2019-04-16 12:44:51,1,pending,95889552
QUOcP,Homicide,2019-02-21 05:08:21,6,closed,32171928
Pxy2y,Domestic violence,2019-10-14 15:17:30,6,pending,55496355
iwSEI,Robbery at a convenience store,2021-03-13 02:32:33,3,closed,59582406
KD8MH,Identity theft,2019-11-29 01:00:11,4,pending,86996022
RI6Wu,Domestic violence,2022-11-20 05:10:08,4,pending,87943994
LKFlX,Child abuse,2022-06-27 11:07:11,9,closed,06893493
qcUAs,Car theft,2019-06-11 11:51:51,10,pending,29367397
Rh1ER,Car theft,2019-09-01 11:49:36,9,closed,74134015
qvd4U,Burglary in a residential area,2022-05-01 03:40:56,8,pending,90667080
pXa4s,Child abuse,2021-09-15 23:24:56,4,closed,77476461
h80OZ,Domestic violence,2019-06-17 18:32:37,10,pending,68187065
t94uU,Kidnapping,2022-05-11 10:38:04,1,closed,84199175
GqRMZ,Child abuse,2022-09-14 05:55:16,10,closed,41437327
5GiJx,Robbery at a convenience store,2021-05-09 18:25:40,9,pending,86227420
bo9cM,Arson,2022-10-09 03:44:46,7,pending,79394253
tMCG1,Child abuse,2020-07-19 03:54:04,4,closed,53097679
axDfx,Stalking,2019-05-25 23:19:37,3,pending,32741497
uR8hH,Assault in a public place,2021-01-05 20:20:27,4,closed,10037930
74YEi,Assault on an officer,2020-07-12 06:56:59,3,closed,63583273
AQemk,Homicide,2019-06-26 22:09:43,7,pending,26816023
7Tqbi,Identity theft,2021-09-21 01:21:39,9,pending,20395328
k3hXA,Vandalism in a park,2019-12-24 21:36:55,1,closed,50071263
Y2TWL,Domestic violence,2021-05-29 03:41:44,10,closed,89152290
50HP8,Forgery and fraud,2020-12-23 08:25:23,6,pending,20067065
lrSf4,Drug trafficking,2019-05-14 00:46:01,3,closed,68241616
LGUv6,Assault in a public place,2021-07-13 23:08:12,4,pending,85422208
g2S4z,Arson,2022-10-14 19:53:24,6,closed,20650964
VDBuN,Assault on an officer,2021-11-24 16:55:11,1,closed,39411189
MNOE4,Vandalism in a park,2020-06-23 19:19:28,1,pending,00181411
BfE2k,Vandalism in a park,2020-09-11 02:32:45,4,closed,90248748
MzkUG,Assault on an officer,2019-08-17 18:06:24,6,pending,07231859
ZYJPe,Kidnapping,2019-04-28 23:39:19,1,pending,98836859
ClFAn,Domestic violence,2022-08-09 09:02:27,4,pending,97778024
tKe8i,Assault on an officer,2022-06-25 19:25:33,8,pending,98248855
pV8dB,Identity theft,2021-10-24 07:09:10,8,pending,61199697
8396D,Vandalism in a park,2022-06-01 01:36:03,6,pending,26278841
df7rR,Robbery at a convenience store,2020-07-13 12:32:07,1,closed,75535785
jImtN,Public disturbance,2022-06-18 03:18:44,1,closed,16598947
DNonH,Forgery and fraud,2022-05-16 04:55:25,3,pending,53422660
yQnsF,Drug trafficking,2019-03-16 04:10:13,6,closed,57813160
ebrAD,Drug trafficking,2019-05-16 20:56:18,7,closed,42537043
renA2,Human trafficking,2020-11-09 12:42:50,5,closed,93939397
nYT3I,Robbery at a convenience store,2020-11-10 19:57:10,2,pending,37376883
gqrqG,Public disturbance,2021-08-27 05:29:31,1,pending,14376078
g406U,Vandalism in a park,2020-05-11 06:28:09,1,pending,68011956
XrlL9,Arson,2022-03-31 03:21:57,10,closed,24320089
jhCd7,Child abuse,2019-05-01 16:32:25,5,pending,69960245
6QJmZ,Burglary in a residential area,2021-11-07 20:23:27,3,pending,28709947
F4R25,Car theft,2022-06-18 14:40:53,4,pending,44741459
BXQ0X,Car theft,2021-04-03 08:21:00,9,pending,77452212
kR9KJ,Arson,2022-12-29 19:54:53,9,pending,37725988
2uwBX,Arson,2022-01-12 14:35:15,3,pending,46421994
oPV2r,Robbery at a convenience store,2022-01-16 07:32:53,9,closed,51607864
NkUPc,Arson,2021-01-27 02:52:50,9,pending,40810268
97trV,Identity theft,2021-07-09 11:18:17,3,pending,52779361
AOAoI,Trespassing,2020-07-05 07:27:54,6,pending,94686636
U2Saw,Trespassing,2022-12-07 16:54:30,8,pending,10280315
eZG8v,Burglary in a residential area,2021-01-20 19:04:48,5,pending,47833294
P9yVp,Trespassing,2019-08-06 17:15:24,7,pending,47884717
3dFIO,Human trafficking,2020-11-24 16:19:08,3,pending,09766564
6srI3,Forgery and fraud,2021-05-15 20:56:45,4,pending,91741167
kGigv,Cybercrime,2022-03-11 13:34:33,2,closed,05500273
f6JMn,Domestic violence,2022-10-12 05:37:18,7,closed,57044262
Md54S,Burglary in a residential area,2019-06-14 12:12:32,10,pending,20593331
QEaAR,Child abuse,2019-04-29 02:04:53,9,pending,28263939
VLhaj,Car theft,2021-07-15 09:52:18,1,pending,43088039
dbvnn,Domestic violence,2019-11-27 23:49:52,3,closed,11208565
ehO6R,Child abuse,2022-12-01 04:11:09,5,closed,96900547
Vdf1J,Human trafficking,2021-01-24 00:14:59,6,pending,58012994
PX4Db,Cybercrime,2019-02-13 19:31:00,6,pending,70180462
fDHzA,Assault on an officer,2021-02-19 18:08:52,7,closed,94667843
CWMqn,Robbery at a convenience store,2020-12-14 12:41:47,8,closed,48514903
KGXGz,Cybercrime,2022-07-28 09:56:45,10,pending,00649970
XRIAn,Domestic violence,2021-04-29 20:27:13,7,closed,50741466
ZoDNn,Arson,2020-02-19 00:58:31,10,pending,89696105
ZSiTY,Domestic violence,2020-12-05 04:12:47,10,pending,31511723
2gvHB,Assault in a public place,2021-07-02 11:43:50,9,closed,64308417
qXdMn,Car theft,2021-09-05 23:25:02,7,pending,75723599
biDC2,Car theft,2019-06-17 13:09:00,9,pending,87005546
9yZ71,Drug trafficking,2022-04-17 13:10:12,5,closed,63569996
N2S96,Domestic violence,2022-01-11 14:06:46,2,closed,98479161
fl8Lk,Environmental crime,2020-08-30 20:49:01,10,closed,62299545
6mQT7,Vandalism in a park,2019-01-23 03:48:08,10,pending,95965925
i4IYQ,Shoplifting at a mall,2021-03-15 17:04:00,7,pending,12416284
22965,Cybercrime,2021-06-21 19:50:05,2,closed,25461650
fD3lh,Stalking,2021-01-25 07:37:46,9,pending,36881508
A2Lyr,Forgery and fraud,2022-03-13 19:17:05,8,pending,79701046
aUk0S,Assault on an officer,2022-06-22 19:22:21,8,closed,46257962
aF51A,Environmental crime,2020-01-01 23:07:30,7,closed,93851930
IdgtW,Domestic violence,2022-10-29 21:43:07,9,closed,20890534
5yW9H,Car theft,2022-09-14 01:59:19,10,closed,13277437
ZACr7,Domestic violence,2019-03-09 07:38:07,2,pending,42006422
AiaEr,Assault in a public place,2021-02-11 12:53:41,10,closed,63833410
o7ZHG,Arson,2020-06-21 18:17:22,10,pending,42703056
7tNPt,Shoplifting at a mall,2021-05-14 01:31:58,9,pending,03964955
1a39U,Cybercrime,2020-12-15 01:48:16,9,pending,84956223
VmRQj,Environmental crime,2020-11-24 20:08:21,7,closed,91532629
EPImx,Homicide,2019-07-07 01:42:06,10,closed,83363621
vwhn8,Kidnapping,2022-11-08 11:20:42,10,closed,84594969
DEDyH,Cybercrime,2019-09-09 18:58:26,6,closed,43600812
uQ1jA,Cybercrime,2021-03-09 03:23:56,7,pending,12914823
OwJGY,Homicide,2022-10-22 08:55:23,5,pending,40324359
rIz4D,Assault on an officer,2019-03-22 01:09:41,7,closed,20385693
bSs4y,Car theft,2020-04-18 22:36:30,8,closed,89939793
g2KlS,Identity theft,2020-03-14 13:49:19,7,pending,73813857
FtHnw,Car theft,2021-05-31 20:55:41,7,pending,49563591
SIU6j,Forgery and fraud,2020-09-17 18:34:55,8,pending,98516519
cmeno,Arson,2020-01-21 14:22:20,2,closed,95597551
spaMz,Trespassing,2021-04-24 18:16:01,1,pending,92149398
esv6A,Arson,2021-03-28 07:54:41,7,closed,14861041
Y1dvy,Trespassing,2022-12-13 13:27:11,1,closed,70204670
bv051,Child abuse,2019-12-14 07:49:23,3,pending,46839319
dgeQn,Stalking,2019-04-21 19:25:30,1,closed,73608169
CTW7M,Human trafficking,2022-10-14 09:21:06,7,closed,49005141
icT2z,Homicide,2021-09-08 16:28:02,6,pending,39011733
6TJNP,Cybercrime,2020-09-26 22:44:44,1,closed,09444655
Jx6Ne,Kidnapping,2021-06-07 20:52:14,4,closed,39394802
k8gyG,Car theft,2022-11-16 22:26:45,2,pending,74904684
4jABw,Stalking,2021-12-16 10:41:14,3,closed,08940981
6BzIc,Shoplifting at a mall,2020-09-28 04:54:08,7,pending,86156724
5P4tl,Environmental crime,2020-05-06 11:22:13,4,pending,44312825
zvqPS,Forgery and fraud,2022-09-09 04:22:48,10,pending,05331301
LCCIw,Child abuse,2019-05-02 02:06:09,3,closed,66373468
9gx8m,Stalking,2021-01-11 04:29:30,4,pending,17678344
LvkPW,Vandalism in a park,2020-09-26 09:59:05,10,pending,67869627
